3.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 5500
4.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -86, frequency: 5500
5.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -69, frequency: 2437
6.SSID: mops, BSSID: 00:17:df:a7:e5:81, capabilities: [ESS], level: -88, frequency: 2412
Time passed (ms): 1362829272470
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -65, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -64, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5500
4.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -69, frequency: 2437
5.SSID: mops, BSSID: 00:17:df:a7:e5:81, capabilities: [ESS], level: -84, frequency: 2412
6.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2412
7.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -94, frequency: 2437
Time passed (ms): 1362829272477
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -65, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -64, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5500
4.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -69, frequency: 2437
5.SSID: mops, BSSID: 00:17:df:a7:e5:81, capabilities: [ESS], level: -84, frequency: 2412
6.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2412
7.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -94, frequency: 2437
Time passed (ms): 1362829275913
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -57, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -57, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5500
4.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -66, frequency: 2437
5.SSID: mops, BSSID: 00:17:df:a7:e5:81, capabilities: [ESS], level: -81, frequency: 2412
6.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2412
7.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -66, frequency: 2437
8.SSID: eduroam, BSSID: 00:17:df:a7:e5:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5560
9.SSID: mops, BSSID: 00:17:df:a7:e5:8e, capabilities: [ESS], level: -88, frequency: 5560
Time passed (ms): 1362829275944
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -57, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -57, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5500
4.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -66, frequency: 2437
5.SSID: mops, BSSID: 00:17:df:a7:e5:81, capabilities: [ESS], level: -81, frequency: 2412
6.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2412
7.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -66, frequency: 2437
8.SSID: eduroam, BSSID: 00:17:df:a7:e5:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5560
9.SSID: mops, BSSID: 00:17:df:a7:e5:8e, capabilities: [ESS], level: -88, frequency: 5560
Time passed (ms): 1362829279336
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -49, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -48, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -62, frequency: 2437
4.SSID: mops, BSSID: 00:17:df:a7:e5:81, capabilities: [ESS], level: -77, frequency: 2412
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -62, frequency: 2437
6.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5280
7.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
8.SSID: mops, BSSID: 00:21:a0:10:22:de, capabilities: [ESS], level: -90, frequency: 5280
9.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -90, frequency: 2462
Time passed (ms): 1362829279344
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -49, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -48, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -62, frequency: 2437
4.SSID: mops, BSSID: 00:17:df:a7:e5:81, capabilities: [ESS], level: -77, frequency: 2412
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -62, frequency: 2437
6.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5280
7.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
8.SSID: mops, BSSID: 00:21:a0:10:22:de, capabilities: [ESS], level: -90, frequency: 5280
9.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -90, frequency: 2462
Time passed (ms): 1362829282801
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -70, frequency: 5240
